"Gender","Age","Marital_Status","Website_Activity","Browsed_Electronics_12Mo","Bought_Electronics_12Mo","Bought_Digital_Media_18Mo","Bought_Digital_Books","Payment_Method","User_ID","eReader_Adoption"
"M",46.0,"S","Frequent","Yes","No","No","No","Website Account",1167.0,"Early Adopter"
"M",57.0,"S","Seldom","Yes","Yes","Yes","Yes","Bank Transfer",2887.0,"Late Majority"
"M",43.0,"S","Seldom","Yes","Yes","Yes","Yes","Website Account",9926.0,"Early Majority"
"F",46.0,"S","Seldom","Yes","No","Yes","Yes","Monthly Billing",1225.0,"Late Majority"
"M",30.0,"M","Seldom","Yes","Yes","Yes","Yes","Website Account",8372.0,"Innovator"
"M",58.0,"S","Seldom","Yes","No","Yes","No","Website Account",8009.0,"Late Majority"
"M",64.0,"M","Seldom","Yes","No","Yes","No","Credit Card",9321.0,"Early Adopter"
"M",22.0,"S","Seldom","Yes","No","Yes","No","Bank Transfer",7041.0,"Late Majority"
"F",36.0,"S","Frequent","Yes","No","Yes","No","Website Account",1595.0,"Late Majority"
"F",61.0,"M","Frequent","Yes","No","No","No","Monthly Billing",9768.0,"Early Adopter"
"F",21.0,"S","Seldom","Yes","No","No","No","Credit Card",4299.0,"Late Majority"
"M",40.0,"M","Seldom","Yes","Yes","Yes","Yes","Bank Transfer",4757.0,"Early Adopter"
"M",51.0,"S","Regular","Yes","No","Yes","Yes","Website Account",1643.0,"Early Adopter"
"F",64.0,"S","Seldom","Yes","No","Yes","Yes","Website Account",6625.0,"Early Adopter"
"F",44.0,"S","Seldom","Yes","No","Yes","No","Monthly Billing",6711.0,"Early Adopter"
"F",64.0,"M","Frequent","No","Yes","No","Yes","Website Account",2310.0,"Late Majority"
"M",41.0,"S","Seldom","Yes","Yes","Yes","No","Bank Transfer",7793.0,"Early Majority"
"F",50.0,"S","Seldom","Yes","No","No","No","Website Account",1003.0,"Early Majority"
"F",52.0,"S","Seldom","Yes","Yes","Yes","No","Credit Card",3736.0,"Early Majority"
"M",62.0,"M","Seldom","Yes","No","Yes","No","Website Account",8773.0,"Innovator"
"F",60.0,"M","Seldom","Yes","Yes","Yes","Yes","Monthly Billing",9515.0,"Early Adopter"
"M",46.0,"M","Regular","Yes","No","Yes","No","Credit Card",9024.0,"Early Adopter"
"M",46.0,"M","Seldom","Yes","Yes","Yes","Yes","Monthly Billing",8245.0,"Early Adopter"
"M",17.0,"M","Seldom","Yes","Yes","Yes","Yes","Website Account",7054.0,"Early Adopter"
"F",28.0,"M","Seldom","Yes","No","Yes","No","Monthly Billing",7790.0,"Late Majority"
"M",41.0,"S","Seldom","Yes","No","No","Yes","Bank Transfer",8466.0,"Early Adopter"
"M",43.0,"M","Frequent","Yes","Yes","No","Yes","Website Account",1202.0,"Early Majority"
"F",33.0,"S","Seldom","Yes","Yes","Yes","No","Website Account",9076.0,"Early Majority"
"M",44.0,"M","Regular","Yes","Yes","Yes","Yes","Website Account",2273.0,"Early Adopter"
"M",48.0,"M","Frequent","Yes","Yes","Yes","No","Bank Transfer",2749.0,"Early Adopter"
"F",38.0,"S","Regular","Yes","Yes","Yes","Yes","Bank Transfer",9262.0,"Early Adopter"
"M",57.0,"M","Frequent","Yes","No","Yes","No","Website Account",3381.0,"Late Majority"
"M",45.0,"S","Seldom","Yes","No","Yes","No","Credit Card",9777.0,"Early Majority"
"M",32.0,"S","Seldom","Yes","Yes","Yes","Yes","Bank Transfer",1883.0,"Late Majority"
"M",51.0,"M","Seldom","Yes","Yes","Yes","No","Website Account",2918.0,"Early Majority"
"F",40.0,"M","Regular","Yes","Yes","Yes","Yes","Website Account",4454.0,"Early Majority"
"F",63.0,"M","Frequent","No","Yes","No","Yes","Website Account",4211.0,"Early Majority"
"F",50.0,"S","Seldom","Yes","Yes","No","Yes","Bank Transfer",3109.0,"Late Majority"
"M",16.0,"M","Seldom","Yes","No","Yes","No","Credit Card",3672.0,"Early Majority"
"F",49.0,"M","Seldom","Yes","No","Yes","No","Bank Transfer",6156.0,"Early Adopter"
"F",45.0,"M","Regular","Yes","Yes","Yes","Yes","Bank Transfer",7674.0,"Late Majority"
"F",62.0,"M","Regular","No","Yes","Yes","No","Bank Transfer",9416.0,"Early Majority"
"M",61.0,"M","Seldom","Yes","Yes","Yes","No","Monthly Billing",1985.0,"Innovator"
"M",47.0,"S","Regular","Yes","No","No","Yes","Credit Card",9509.0,"Early Adopter"
"M",44.0,"M","Regular","Yes","No","No","No","Credit Card",3818.0,"Late Majority"
"F",46.0,"S","Seldom","Yes","Yes","No","No","Bank Transfer",2544.0,"Early Adopter"
"M",26.0,"M","Regular","Yes","Yes","Yes","No","Website Account",7823.0,"Early Majority"
"F",35.0,"S","Regular","Yes","Yes","No","No","Website Account",3342.0,"Early Adopter"
"F",29.0,"S","Seldom","Yes","No","Yes","No","Website Account",4653.0,"Early Adopter"
"F",49.0,"M","Regular","No","Yes","Yes","No","Credit Card",8587.0,"Late Majority"
"F",56.0,"S","Seldom","Yes","No","Yes","No","Website Account",6016.0,"Early Majority"
"F",22.0,"M","Regular","Yes","Yes","Yes","No","Credit Card",8470.0,"Early Adopter"
"F",48.0,"M","Seldom","Yes","Yes","Yes","No","Bank Transfer",7522.0,"Late Majority"
"M",44.0,"S","Regular","Yes","No","Yes","No","Website Account",3757.0,"Innovator"
"F",47.0,"S","Seldom","Yes","Yes","No","Yes","Credit Card",6838.0,"Innovator"
"F",53.0,"S","Seldom","Yes","No","Yes","Yes","Credit Card",4771.0,"Early Adopter"
"F",53.0,"M","Seldom","Yes","No","Yes","Yes","Website Account",3316.0,"Early Majority"
"M",22.0,"M","Seldom","Yes","No","No","No","Monthly Billing",6172.0,"Late Majority"
"F",34.0,"S","Regular","Yes","Yes","Yes","No","Website Account",3529.0,"Innovator"
"M",19.0,"M","Regular","Yes","Yes","Yes","Yes","Website Account",1828.0,"Early Adopter"
"M",24.0,"M","Regular","Yes","No","Yes","No","Bank Transfer",6554.0,"Early Majority"
"M",54.0,"M","Seldom","Yes","No","Yes","Yes","Website Account",1298.0,"Early Adopter"
"M",41.0,"M","Seldom","Yes","Yes","Yes","No","Website Account",9049.0,"Early Majority"
"M",65.0,"S","Regular","Yes","Yes","Yes","Yes","Credit Card",1756.0,"Early Majority"
"M",56.0,"S","Seldom","Yes","No","Yes","Yes","Bank Transfer",5309.0,"Early Majority"
"F",56.0,"S","Regular","Yes","No","No","Yes","Website Account",5592.0,"Early Adopter"
"M",21.0,"S","Seldom","Yes","Yes","Yes","No","Bank Transfer",8530.0,"Innovator"
"M",57.0,"S","Regular","Yes","Yes","Yes","Yes","Bank Transfer",9547.0,"Innovator"
"F",17.0,"S","Seldom","Yes","No","Yes","Yes","Website Account",5064.0,"Early Adopter"
"F",36.0,"M","Seldom","Yes","No","Yes","Yes","Bank Transfer",2669.0,"Early Majority"
"M",18.0,"M","Seldom","Yes","No","Yes","Yes","Monthly Billing",4304.0,"Early Majority"
"M",40.0,"M","Seldom","Yes","Yes","Yes","Yes","Bank Transfer",5965.0,"Early Majority"
"F",27.0,"M","Regular","Yes","Yes","Yes","Yes","Monthly Billing",3204.0,"Early Majority"
"M",27.0,"M","Regular","No","No","Yes","No","Monthly Billing",7229.0,"Early Majority"
"F",58.0,"S","Regular","Yes","Yes","Yes","No","Website Account",9711.0,"Innovator"
"F",26.0,"S","Regular","Yes","No","Yes","Yes","Bank Transfer",3291.0,"Early Majority"
"F",45.0,"M","Seldom","Yes","No","Yes","Yes","Bank Transfer",2088.0,"Early Majority"
"F",43.0,"M","Seldom","Yes","Yes","Yes","Yes","Website Account",4632.0,"Early Majority"
"M",48.0,"S","Frequent","Yes","Yes","Yes","Yes","Website Account",8450.0,"Late Majority"
"F",32.0,"M","Regular","Yes","No","Yes","No","Website Account",2048.0,"Early Adopter"
"F",26.0,"M","Seldom","Yes","No","Yes","Yes","Website Account",9630.0,"Early Majority"
"F",55.0,"S","Seldom","Yes","No","Yes","No","Monthly Billing",9982.0,"Early Adopter"
"M",57.0,"S","Regular","No","Yes","Yes","Yes","Bank Transfer",2542.0,"Early Majority"
